id,kind,title,vibe,palette,control_a,control_b,control_c,intensity,prompt,tags,license
gen-art-001,art,Prismatic Orchard,poster-ready studio wall,auroraInk,orbital,stars,Prismatic Orchard layered with stars and orbital motion,4,"Create Prismatic Orchard as a polished mixed-media artwork using orbital structure, stars accents, textured negative space, and a gallery-ready focal point.","art,orbital,stars,auroraInk",Original free-to-use generated seed
gen-art-002,art,Velvet Map,album-cover color study,mossFlame,botanical,glyphs,Velvet Map layered with glyphs and botanical motion,5,"Create Velvet Map as a polished mixed-media artwork using botanical structure, glyphs accents, textured negative space, and a gallery-ready focal point.","art,botanical,glyphs,mossFlame",Original free-to-use generated seed
gen-art-003,art,Neon Harbor,sketchbook remix plate,citrusCircuit,crystal,sparks,Neon Harbor layered with sparks and crystal motion,6,"Create Neon Harbor as a polished mixed-media artwork using crystal structure, sparks accents, textured negative space, and a gallery-ready focal point.","art,crystal,sparks,citrusCircuit",Original free-to-use generated seed
gen-art-004,art,Quiet Portal,gallery-card composition,monoStencil,signal,ribbons,Quiet Portal layered with ribbons and signal motion,7,"Create Quiet Portal as a polished mixed-media artwork using signal structure, ribbons accents, textured negative space, and a gallery-ready focal point.","art,signal,ribbons,monoStencil",Original free-to-use generated seed
gen-art-005,art,Chrome Pulse,dreamy editorial spread,velvetSignal,mask,petals,Chrome Pulse layered with petals and mask motion,8,"Create Chrome Pulse as a polished mixed-media artwork using mask structure, petals accents, textured negative space, and a gallery-ready focal point.","art,mask,petals,velvetSignal",Original free-to-use generated seed
gen-art-006,art,Solar Mirror,high-contrast visual identity mood,auroraInk,orbital,ribbons,Solar Mirror layered with ribbons and orbital motion,9,"Create Solar Mirror as a polished mixed-media artwork using orbital structure, ribbons accents, textured negative space, and a gallery-ready focal point.","art,orbital,ribbons,auroraInk",Original free-to-use generated seed
gen-art-007,art,Midnight Relic,handmade flash sheet,mossFlame,botanical,petals,Midnight Relic layered with petals and botanical motion,10,"Create Midnight Relic as a polished mixed-media artwork using botanical structure, petals accents, textured negative space, and a gallery-ready focal point.","art,botanical,petals,mossFlame",Original free-to-use generated seed
gen-art-008,art,Paper Lantern,digital mural fragment,citrusCircuit,crystal,stars,Paper Lantern layered with stars and crystal motion,4,"Create Paper Lantern as a polished mixed-media artwork using crystal structure, stars accents, textured negative space, and a gallery-ready focal point.","art,crystal,stars,citrusCircuit",Original free-to-use generated seed
gen-art-009,art,Electric Garden,ritual object study,monoStencil,signal,glyphs,Electric Garden layered with glyphs and signal motion,5,"Create Electric Garden as a polished mixed-media artwork using signal structure, glyphs accents, textured negative space, and a gallery-ready focal point.","art,signal,glyphs,monoStencil",Original free-to-use generated seed
gen-art-010,art,Lunar Compass,street-sticker concept,velvetSignal,mask,sparks,Lunar Compass layered with sparks and mask motion,6,"Create Lunar Compass as a polished mixed-media artwork using mask structure, sparks accents, textured negative space, and a gallery-ready focal point.","art,mask,sparks,velvetSignal",Original free-to-use generated seed
gen-art-011,art,Glass Circuit,poster-ready studio wall,auroraInk,orbital,glyphs,Glass Circuit layered with glyphs and orbital motion,7,"Create Glass Circuit as a polished mixed-media artwork using orbital structure, glyphs accents, textured negative space, and a gallery-ready focal point.","art,orbital,glyphs,auroraInk",Original free-to-use generated seed
gen-art-012,art,Wild Crest,album-cover color study,mossFlame,botanical,sparks,Wild Crest layered with sparks and botanical motion,8,"Create Wild Crest as a polished mixed-media artwork using botanical structure, sparks accents, textured negative space, and a gallery-ready focal point.","art,botanical,sparks,mossFlame",Original free-to-use generated seed
gen-art-013,art,Soft Bloom,sketchbook remix plate,citrusCircuit,crystal,ribbons,Soft Bloom layered with ribbons and crystal motion,9,"Create Soft Bloom as a polished mixed-media artwork using crystal structure, ribbons accents, textured negative space, and a gallery-ready focal point.","art,crystal,ribbons,citrusCircuit",Original free-to-use generated seed
gen-art-014,art,Static Ember,gallery-card composition,monoStencil,signal,petals,Static Ember layered with petals and signal motion,10,"Create Static Ember as a polished mixed-media artwork using signal structure, petals accents, textured negative space, and a gallery-ready focal point.","art,signal,petals,monoStencil",Original free-to-use generated seed
gen-art-015,art,Golden Wave,dreamy editorial spread,velvetSignal,mask,stars,Golden Wave layered with stars and mask motion,4,"Create Golden Wave as a polished mixed-media artwork using mask structure, stars accents, textured negative space, and a gallery-ready focal point.","art,mask,stars,velvetSignal",Original free-to-use generated seed
