id,kind,title,vibe,palette,control_a,control_b,control_c,intensity,prompt,tags,license
gen-comic-001,comic,Pixel Nova Orchard: Prismatic Issue,mystic comic page with three layout,auroraInk,three,mystic,Pixel Nova Orchard,4,Stage Pixel Nova Orchard: Prismatic Issue as a three comic composition where Pixel Nova Orchard hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,auroraInk",Original free-to-use generated seed
gen-comic-002,comic,Vera Volt Bloom: Solar Issue,neon comic page with splash layout,velvetSignal,splash,neon,Vera Volt Bloom,5,Stage Vera Volt Bloom: Solar Issue as a splash comic composition where Vera Volt Bloom hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,velvetSignal",Original free-to-use generated seed
gen-comic-003,comic,Ink Relay Pulse: Glass Issue,street comic page with grid layout,monoStencil,grid,street,Ink Relay Pulse,6,Stage Ink Relay Pulse: Glass Issue as a grid comic composition where Ink Relay Pulse hits a street turning point with readable captions and bold motion.,"comic,grid,street,monoStencil",Original free-to-use generated seed
gen-comic-004,comic,Glyph Ryder Ribbon: Ink Issue,cosmic comic page with poster layout,citrusCircuit,poster,cosmic,Glyph Ryder Ribbon,7,Stage Glyph Ryder Ribbon: Ink Issue as a poster comic composition where Glyph Ryder Ribbon hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,citrusCircuit",Original free-to-use generated seed
gen-comic-005,comic,Captain Color Garden: Prismatic Issue,mystic comic page with three layout,mossFlame,three,mystic,Captain Color Garden,8,Stage Captain Color Garden: Prismatic Issue as a three comic composition where Captain Color Garden hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,mossFlame",Original free-to-use generated seed
gen-comic-006,comic,Mira Static Orchard: Solar Issue,neon comic page with splash layout,auroraInk,splash,neon,Mira Static Orchard,9,Stage Mira Static Orchard: Solar Issue as a splash comic composition where Mira Static Orchard hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,auroraInk",Original free-to-use generated seed
gen-comic-007,comic,Orbit Vale Bloom: Glass Issue,street comic page with grid layout,velvetSignal,grid,street,Orbit Vale Bloom,10,Stage Orbit Vale Bloom: Glass Issue as a grid comic composition where Orbit Vale Bloom hits a street turning point with readable captions and bold motion.,"comic,grid,street,velvetSignal",Original free-to-use generated seed
gen-comic-008,comic,Juno Flash Pulse: Ink Issue,cosmic comic page with poster layout,monoStencil,poster,cosmic,Juno Flash Pulse,4,Stage Juno Flash Pulse: Ink Issue as a poster comic composition where Juno Flash Pulse hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,monoStencil",Original free-to-use generated seed
gen-comic-009,comic,Pixel Nova Ribbon: Prismatic Issue,mystic comic page with three layout,citrusCircuit,three,mystic,Pixel Nova Ribbon,5,Stage Pixel Nova Ribbon: Prismatic Issue as a three comic composition where Pixel Nova Ribbon hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,citrusCircuit",Original free-to-use generated seed
gen-comic-010,comic,Vera Volt Garden: Solar Issue,neon comic page with splash layout,mossFlame,splash,neon,Vera Volt Garden,6,Stage Vera Volt Garden: Solar Issue as a splash comic composition where Vera Volt Garden hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,mossFlame",Original free-to-use generated seed
gen-comic-011,comic,Ink Relay Orchard: Glass Issue,street comic page with grid layout,auroraInk,grid,street,Ink Relay Orchard,7,Stage Ink Relay Orchard: Glass Issue as a grid comic composition where Ink Relay Orchard hits a street turning point with readable captions and bold motion.,"comic,grid,street,auroraInk",Original free-to-use generated seed
gen-comic-012,comic,Glyph Ryder Bloom: Ink Issue,cosmic comic page with poster layout,velvetSignal,poster,cosmic,Glyph Ryder Bloom,8,Stage Glyph Ryder Bloom: Ink Issue as a poster comic composition where Glyph Ryder Bloom hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,velvetSignal",Original free-to-use generated seed
gen-comic-013,comic,Captain Color Pulse: Prismatic Issue,mystic comic page with three layout,monoStencil,three,mystic,Captain Color Pulse,9,Stage Captain Color Pulse: Prismatic Issue as a three comic composition where Captain Color Pulse hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,monoStencil",Original free-to-use generated seed
gen-comic-014,comic,Mira Static Ribbon: Solar Issue,neon comic page with splash layout,citrusCircuit,splash,neon,Mira Static Ribbon,10,Stage Mira Static Ribbon: Solar Issue as a splash comic composition where Mira Static Ribbon hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,citrusCircuit",Original free-to-use generated seed
gen-comic-015,comic,Orbit Vale Garden: Glass Issue,street comic page with grid layout,mossFlame,grid,street,Orbit Vale Garden,4,Stage Orbit Vale Garden: Glass Issue as a grid comic composition where Orbit Vale Garden hits a street turning point with readable captions and bold motion.,"comic,grid,street,mossFlame",Original free-to-use generated seed
gen-comic-016,comic,Juno Flash Orchard: Ink Issue,cosmic comic page with poster layout,auroraInk,poster,cosmic,Juno Flash Orchard,5,Stage Juno Flash Orchard: Ink Issue as a poster comic composition where Juno Flash Orchard hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,auroraInk",Original free-to-use generated seed
gen-comic-017,comic,Pixel Nova Bloom: Prismatic Issue,mystic comic page with three layout,velvetSignal,three,mystic,Pixel Nova Bloom,6,Stage Pixel Nova Bloom: Prismatic Issue as a three comic composition where Pixel Nova Bloom hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,velvetSignal",Original free-to-use generated seed
gen-comic-018,comic,Vera Volt Pulse: Solar Issue,neon comic page with splash layout,monoStencil,splash,neon,Vera Volt Pulse,7,Stage Vera Volt Pulse: Solar Issue as a splash comic composition where Vera Volt Pulse hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,monoStencil",Original free-to-use generated seed
gen-comic-019,comic,Ink Relay Ribbon: Glass Issue,street comic page with grid layout,citrusCircuit,grid,street,Ink Relay Ribbon,8,Stage Ink Relay Ribbon: Glass Issue as a grid comic composition where Ink Relay Ribbon hits a street turning point with readable captions and bold motion.,"comic,grid,street,citrusCircuit",Original free-to-use generated seed
gen-comic-020,comic,Glyph Ryder Garden: Ink Issue,cosmic comic page with poster layout,mossFlame,poster,cosmic,Glyph Ryder Garden,9,Stage Glyph Ryder Garden: Ink Issue as a poster comic composition where Glyph Ryder Garden hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,mossFlame",Original free-to-use generated seed
gen-comic-021,comic,Captain Color Orchard: Prismatic Issue,mystic comic page with three layout,auroraInk,three,mystic,Captain Color Orchard,10,Stage Captain Color Orchard: Prismatic Issue as a three comic composition where Captain Color Orchard hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,auroraInk",Original free-to-use generated seed
gen-comic-022,comic,Mira Static Bloom: Solar Issue,neon comic page with splash layout,velvetSignal,splash,neon,Mira Static Bloom,4,Stage Mira Static Bloom: Solar Issue as a splash comic composition where Mira Static Bloom hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,velvetSignal",Original free-to-use generated seed
gen-comic-023,comic,Orbit Vale Pulse: Glass Issue,street comic page with grid layout,monoStencil,grid,street,Orbit Vale Pulse,5,Stage Orbit Vale Pulse: Glass Issue as a grid comic composition where Orbit Vale Pulse hits a street turning point with readable captions and bold motion.,"comic,grid,street,monoStencil",Original free-to-use generated seed
gen-comic-024,comic,Juno Flash Ribbon: Ink Issue,cosmic comic page with poster layout,citrusCircuit,poster,cosmic,Juno Flash Ribbon,6,Stage Juno Flash Ribbon: Ink Issue as a poster comic composition where Juno Flash Ribbon hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,citrusCircuit",Original free-to-use generated seed
gen-comic-025,comic,Pixel Nova Garden: Prismatic Issue,mystic comic page with three layout,mossFlame,three,mystic,Pixel Nova Garden,7,Stage Pixel Nova Garden: Prismatic Issue as a three comic composition where Pixel Nova Garden hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,mossFlame",Original free-to-use generated seed
gen-comic-026,comic,Vera Volt Orchard: Solar Issue,neon comic page with splash layout,auroraInk,splash,neon,Vera Volt Orchard,8,Stage Vera Volt Orchard: Solar Issue as a splash comic composition where Vera Volt Orchard hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,auroraInk",Original free-to-use generated seed
gen-comic-027,comic,Ink Relay Bloom: Glass Issue,street comic page with grid layout,velvetSignal,grid,street,Ink Relay Bloom,9,Stage Ink Relay Bloom: Glass Issue as a grid comic composition where Ink Relay Bloom hits a street turning point with readable captions and bold motion.,"comic,grid,street,velvetSignal",Original free-to-use generated seed
gen-comic-028,comic,Glyph Ryder Pulse: Ink Issue,cosmic comic page with poster layout,monoStencil,poster,cosmic,Glyph Ryder Pulse,10,Stage Glyph Ryder Pulse: Ink Issue as a poster comic composition where Glyph Ryder Pulse hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,monoStencil",Original free-to-use generated seed
gen-comic-029,comic,Captain Color Ribbon: Prismatic Issue,mystic comic page with three layout,citrusCircuit,three,mystic,Captain Color Ribbon,4,Stage Captain Color Ribbon: Prismatic Issue as a three comic composition where Captain Color Ribbon hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,citrusCircuit",Original free-to-use generated seed
gen-comic-030,comic,Mira Static Garden: Solar Issue,neon comic page with splash layout,mossFlame,splash,neon,Mira Static Garden,5,Stage Mira Static Garden: Solar Issue as a splash comic composition where Mira Static Garden hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,mossFlame",Original free-to-use generated seed
gen-comic-031,comic,Orbit Vale Orchard: Glass Issue,street comic page with grid layout,auroraInk,grid,street,Orbit Vale Orchard,6,Stage Orbit Vale Orchard: Glass Issue as a grid comic composition where Orbit Vale Orchard hits a street turning point with readable captions and bold motion.,"comic,grid,street,auroraInk",Original free-to-use generated seed
gen-comic-032,comic,Juno Flash Bloom: Ink Issue,cosmic comic page with poster layout,velvetSignal,poster,cosmic,Juno Flash Bloom,7,Stage Juno Flash Bloom: Ink Issue as a poster comic composition where Juno Flash Bloom hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,velvetSignal",Original free-to-use generated seed
gen-comic-033,comic,Pixel Nova Pulse: Prismatic Issue,mystic comic page with three layout,monoStencil,three,mystic,Pixel Nova Pulse,8,Stage Pixel Nova Pulse: Prismatic Issue as a three comic composition where Pixel Nova Pulse hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,monoStencil",Original free-to-use generated seed
gen-comic-034,comic,Vera Volt Ribbon: Solar Issue,neon comic page with splash layout,citrusCircuit,splash,neon,Vera Volt Ribbon,9,Stage Vera Volt Ribbon: Solar Issue as a splash comic composition where Vera Volt Ribbon hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,citrusCircuit",Original free-to-use generated seed
gen-comic-035,comic,Ink Relay Garden: Glass Issue,street comic page with grid layout,mossFlame,grid,street,Ink Relay Garden,10,Stage Ink Relay Garden: Glass Issue as a grid comic composition where Ink Relay Garden hits a street turning point with readable captions and bold motion.,"comic,grid,street,mossFlame",Original free-to-use generated seed
gen-comic-036,comic,Glyph Ryder Orchard: Ink Issue,cosmic comic page with poster layout,auroraInk,poster,cosmic,Glyph Ryder Orchard,4,Stage Glyph Ryder Orchard: Ink Issue as a poster comic composition where Glyph Ryder Orchard hits a cosmic turning point with readable captions and bold motion.,"comic,poster,cosmic,auroraInk",Original free-to-use generated seed
gen-comic-037,comic,Captain Color Bloom: Prismatic Issue,mystic comic page with three layout,velvetSignal,three,mystic,Captain Color Bloom,5,Stage Captain Color Bloom: Prismatic Issue as a three comic composition where Captain Color Bloom hits a mystic turning point with readable captions and bold motion.,"comic,three,mystic,velvetSignal",Original free-to-use generated seed
gen-comic-038,comic,Mira Static Pulse: Solar Issue,neon comic page with splash layout,monoStencil,splash,neon,Mira Static Pulse,6,Stage Mira Static Pulse: Solar Issue as a splash comic composition where Mira Static Pulse hits a neon turning point with readable captions and bold motion.,"comic,splash,neon,monoStencil",Original free-to-use generated seed
