id,kind,title,vibe,palette,control_a,control_b,control_c,intensity,prompt,tags,license
gen-icon-001,icon,Prismatic Orchard Icon,gallery-card composition app mark,velvetSignal,orbital,ribbons,Prismatic Orchard Icon for a compact creative tool,3,"Design Prismatic Orchard Icon as a crisp app icon with a readable silhouette, orbital core, ribbons detail, and strong contrast at small sizes.","icon,app,orbital,ribbons,velvetSignal",Original free-to-use generated seed
gen-icon-002,icon,Velvet Map Icon,dreamy editorial spread app mark,mossFlame,crystal,sparks,Velvet Map Icon for a compact creative tool,4,"Design Velvet Map Icon as a crisp app icon with a readable silhouette, crystal core, sparks detail, and strong contrast at small sizes.","icon,app,crystal,sparks,mossFlame",Original free-to-use generated seed
gen-icon-003,icon,Neon Harbor Icon,high-contrast visual identity mood app mark,monoStencil,mask,glyphs,Neon Harbor Icon for a compact creative tool,5,"Design Neon Harbor Icon as a crisp app icon with a readable silhouette, mask core, glyphs detail, and strong contrast at small sizes.","icon,app,mask,glyphs,monoStencil",Original free-to-use generated seed
gen-icon-004,icon,Quiet Portal Icon,handmade flash sheet app mark,auroraInk,botanical,stars,Quiet Portal Icon for a compact creative tool,6,"Design Quiet Portal Icon as a crisp app icon with a readable silhouette, botanical core, stars detail, and strong contrast at small sizes.","icon,app,botanical,stars,auroraInk",Original free-to-use generated seed
gen-icon-005,icon,Chrome Pulse Icon,digital mural fragment app mark,citrusCircuit,signal,petals,Chrome Pulse Icon for a compact creative tool,7,"Design Chrome Pulse Icon as a crisp app icon with a readable silhouette, signal core, petals detail, and strong contrast at small sizes.","icon,app,signal,petals,citrusCircuit",Original free-to-use generated seed
gen-icon-006,icon,Solar Mirror Icon,ritual object study app mark,velvetSignal,orbital,ribbons,Solar Mirror Icon for a compact creative tool,8,"Design Solar Mirror Icon as a crisp app icon with a readable silhouette, orbital core, ribbons detail, and strong contrast at small sizes.","icon,app,orbital,ribbons,velvetSignal",Original free-to-use generated seed
gen-icon-007,icon,Midnight Relic Icon,street-sticker concept app mark,mossFlame,crystal,sparks,Midnight Relic Icon for a compact creative tool,9,"Design Midnight Relic Icon as a crisp app icon with a readable silhouette, crystal core, sparks detail, and strong contrast at small sizes.","icon,app,crystal,sparks,mossFlame",Original free-to-use generated seed
gen-icon-008,icon,Paper Lantern Icon,poster-ready studio wall app mark,monoStencil,mask,glyphs,Paper Lantern Icon for a compact creative tool,10,"Design Paper Lantern Icon as a crisp app icon with a readable silhouette, mask core, glyphs detail, and strong contrast at small sizes.","icon,app,mask,glyphs,monoStencil",Original free-to-use generated seed
gen-icon-009,icon,Electric Garden Icon,album-cover color study app mark,auroraInk,botanical,stars,Electric Garden Icon for a compact creative tool,3,"Design Electric Garden Icon as a crisp app icon with a readable silhouette, botanical core, stars detail, and strong contrast at small sizes.","icon,app,botanical,stars,auroraInk",Original free-to-use generated seed
gen-icon-010,icon,Lunar Compass Icon,sketchbook remix plate app mark,citrusCircuit,signal,petals,Lunar Compass Icon for a compact creative tool,4,"Design Lunar Compass Icon as a crisp app icon with a readable silhouette, signal core, petals detail, and strong contrast at small sizes.","icon,app,signal,petals,citrusCircuit",Original free-to-use generated seed
