id,kind,title,vibe,palette,control_a,control_b,control_c,intensity,prompt,tags,license
gen-tattoo-001,tattoo,Prismatic Orchard Flash,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,4,"Draw Prismatic Orchard Flash as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-002,tattoo,Velvet Lantern Oath,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,5,"Draw Velvet Lantern Oath as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-003,tattoo,Neon Wave Flash,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,6,"Draw Neon Wave Flash as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-004,tattoo,Quiet Map Oath,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,7,"Draw Quiet Map Oath as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-005,tattoo,Chrome Garden Flash,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,8,"Draw Chrome Garden Flash as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-006,tattoo,Solar Engine Oath,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,9,"Draw Solar Engine Oath as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-007,tattoo,Midnight Harbor Flash,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,10,"Draw Midnight Harbor Flash as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-008,tattoo,Paper Compass Oath,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,4,"Draw Paper Compass Oath as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-009,tattoo,Electric Ribbon Flash,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,5,"Draw Electric Ribbon Flash as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-010,tattoo,Lunar Portal Oath,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,6,"Draw Lunar Portal Oath as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-011,tattoo,Glass Circuit Flash,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,7,"Draw Glass Circuit Flash as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-012,tattoo,Wild Archive Oath,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,8,"Draw Wild Archive Oath as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-013,tattoo,Soft Pulse Flash,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,9,"Draw Soft Pulse Flash as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-014,tattoo,Static Crest Oath,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,10,"Draw Static Crest Oath as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-015,tattoo,Golden Shrine Flash,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,4,"Draw Golden Shrine Flash as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-016,tattoo,Ink Mirror Oath,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,5,"Draw Ink Mirror Oath as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-017,tattoo,Rainlit Bloom Flash,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,6,"Draw Rainlit Bloom Flash as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-018,tattoo,Signal Glyph Oath,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,7,"Draw Signal Glyph Oath as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-019,tattoo,Mythic Relic Flash,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,8,"Draw Mythic Relic Flash as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-020,tattoo,Bright Ember Oath,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,9,"Draw Bright Ember Oath as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-021,tattoo,Prismatic Orchard Flash,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,10,"Draw Prismatic Orchard Flash as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-022,tattoo,Velvet Lantern Oath,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,4,"Draw Velvet Lantern Oath as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-023,tattoo,Neon Wave Flash,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,5,"Draw Neon Wave Flash as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-024,tattoo,Quiet Map Oath,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,6,"Draw Quiet Map Oath as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-025,tattoo,Chrome Garden Flash,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,7,"Draw Chrome Garden Flash as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-026,tattoo,Solar Engine Oath,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,8,"Draw Solar Engine Oath as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-027,tattoo,Midnight Harbor Flash,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,9,"Draw Midnight Harbor Flash as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-028,tattoo,Paper Compass Oath,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,10,"Draw Paper Compass Oath as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-029,tattoo,Electric Ribbon Flash,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,4,"Draw Electric Ribbon Flash as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-030,tattoo,Lunar Portal Oath,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,5,"Draw Lunar Portal Oath as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-031,tattoo,Glass Circuit Flash,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,6,"Draw Glass Circuit Flash as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-032,tattoo,Wild Archive Oath,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,7,"Draw Wild Archive Oath as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-033,tattoo,Soft Pulse Flash,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,8,"Draw Soft Pulse Flash as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-034,tattoo,Static Crest Oath,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,9,"Draw Static Crest Oath as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-035,tattoo,Golden Shrine Flash,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,10,"Draw Golden Shrine Flash as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-036,tattoo,Ink Mirror Oath,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,4,"Draw Ink Mirror Oath as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-037,tattoo,Rainlit Bloom Flash,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,5,"Draw Rainlit Bloom Flash as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-038,tattoo,Signal Glyph Oath,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,6,"Draw Signal Glyph Oath as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-039,tattoo,Mythic Relic Flash,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,7,"Draw Mythic Relic Flash as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-040,tattoo,Bright Ember Oath,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,8,"Draw Bright Ember Oath as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-041,tattoo,Prismatic Orchard Flash,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,9,"Draw Prismatic Orchard Flash as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-042,tattoo,Velvet Lantern Oath,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,10,"Draw Velvet Lantern Oath as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-043,tattoo,Neon Wave Flash,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,4,"Draw Neon Wave Flash as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-044,tattoo,Quiet Map Oath,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,5,"Draw Quiet Map Oath as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-045,tattoo,Chrome Garden Flash,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,6,"Draw Chrome Garden Flash as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-046,tattoo,Solar Engine Oath,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,7,"Draw Solar Engine Oath as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-047,tattoo,Midnight Harbor Flash,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,8,"Draw Midnight Harbor Flash as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-048,tattoo,Paper Compass Oath,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,9,"Draw Paper Compass Oath as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-049,tattoo,Electric Ribbon Flash,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,10,"Draw Electric Ribbon Flash as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-050,tattoo,Lunar Portal Oath,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,4,"Draw Lunar Portal Oath as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-051,tattoo,Glass Circuit Flash,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,5,"Draw Glass Circuit Flash as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-052,tattoo,Wild Archive Oath,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,6,"Draw Wild Archive Oath as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-053,tattoo,Soft Pulse Flash,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,7,"Draw Soft Pulse Flash as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-054,tattoo,Static Crest Oath,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,8,"Draw Static Crest Oath as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
gen-tattoo-055,tattoo,Golden Shrine Flash,sternum wave flash with crest movement,citrusCircuit,wave,sternum,crest,9,"Draw Golden Shrine Flash as a tattoo concept for the sternum, using wave symbolism, crest flow, clean stencil lines, and readable negative space.","tattoo,wave,sternum,crest",Original free-to-use generated seed
gen-tattoo-056,tattoo,Ink Mirror Oath,shoulder botanical flash with crescent movement,auroraInk,botanical,shoulder,crescent,10,"Draw Ink Mirror Oath as a tattoo concept for the shoulder, using botanical symbolism, crescent flow, clean stencil lines, and readable negative space.","tattoo,botanical,shoulder,crescent",Original free-to-use generated seed
gen-tattoo-057,tattoo,Rainlit Bloom Flash,ankle celestial flash with vertical movement,monoStencil,celestial,ankle,vertical,4,"Draw Rainlit Bloom Flash as a tattoo concept for the ankle, using celestial symbolism, vertical flow, clean stencil lines, and readable negative space.","tattoo,celestial,ankle,vertical",Original free-to-use generated seed
gen-tattoo-058,tattoo,Signal Glyph Oath,forearm mythic flash with band movement,mossFlame,mythic,forearm,band,5,"Draw Signal Glyph Oath as a tattoo concept for the forearm, using mythic symbolism, band flow, clean stencil lines, and readable negative space.","tattoo,mythic,forearm,band",Original free-to-use generated seed
gen-tattoo-059,tattoo,Mythic Relic Flash,spine geometric flash with spiral movement,velvetSignal,geometric,spine,spiral,6,"Draw Mythic Relic Flash as a tattoo concept for the spine, using geometric symbolism, spiral flow, clean stencil lines, and readable negative space.","tattoo,geometric,spine,spiral",Original free-to-use generated seed
