id,kind,title,vibe,palette,control_a,control_b,control_c,intensity,prompt,tags,license
gen-logo-001,logo,Prismatic Orchard Studio,sleek identity system for a creative brand,citrusCircuit,badge,sleek,POS,3,"Build a sleek logo system for Prismatic Orchard Studio: badge symbol, compact monogram POS, balanced wordmark, and flexible badge usage.","logo,badge,sleek,citrusCircuit",Original free-to-use generated seed
gen-logo-002,logo,Velvet Engine House,street identity system for a creative brand,mossFlame,spark,street,VEH,4,"Build a street logo system for Velvet Engine House: spark symbol, compact monogram VEH, balanced wordmark, and flexible badge usage.","logo,spark,street,mossFlame",Original free-to-use generated seed
gen-logo-003,logo,Neon Circuit Forge,playful identity system for a creative brand,auroraInk,wave,playful,NCF,5,"Build a playful logo system for Neon Circuit Forge: wave symbol, compact monogram NCF, balanced wordmark, and flexible badge usage.","logo,wave,playful,auroraInk",Original free-to-use generated seed
gen-logo-004,logo,Quiet Mirror Method,future identity system for a creative brand,velvetSignal,facets,future,QMM,6,"Build a future logo system for Quiet Mirror Method: facets symbol, compact monogram QMM, balanced wordmark, and flexible badge usage.","logo,facets,future,velvetSignal",Original free-to-use generated seed
gen-logo-005,logo,Chrome Orchard Signal,luxury identity system for a creative brand,monoStencil,portal,luxury,COS,7,"Build a luxury logo system for Chrome Orchard Signal: portal symbol, compact monogram COS, balanced wordmark, and flexible badge usage.","logo,portal,luxury,monoStencil",Original free-to-use generated seed
gen-logo-006,logo,Solar Engine Supply,sleek identity system for a creative brand,citrusCircuit,badge,sleek,SES,8,"Build a sleek logo system for Solar Engine Supply: badge symbol, compact monogram SES, balanced wordmark, and flexible badge usage.","logo,badge,sleek,citrusCircuit",Original free-to-use generated seed
gen-logo-007,logo,Midnight Circuit Lab,street identity system for a creative brand,mossFlame,spark,street,MCL,9,"Build a street logo system for Midnight Circuit Lab: spark symbol, compact monogram MCL, balanced wordmark, and flexible badge usage.","logo,spark,street,mossFlame",Original free-to-use generated seed
gen-logo-008,logo,Paper Mirror Works,playful identity system for a creative brand,auroraInk,wave,playful,PMW,10,"Build a playful logo system for Paper Mirror Works: wave symbol, compact monogram PMW, balanced wordmark, and flexible badge usage.","logo,wave,playful,auroraInk",Original free-to-use generated seed
gen-logo-009,logo,Electric Orchard Studio,future identity system for a creative brand,velvetSignal,facets,future,EOS,3,"Build a future logo system for Electric Orchard Studio: facets symbol, compact monogram EOS, balanced wordmark, and flexible badge usage.","logo,facets,future,velvetSignal",Original free-to-use generated seed
gen-logo-010,logo,Lunar Engine House,luxury identity system for a creative brand,monoStencil,portal,luxury,LEH,4,"Build a luxury logo system for Lunar Engine House: portal symbol, compact monogram LEH, balanced wordmark, and flexible badge usage.","logo,portal,luxury,monoStencil",Original free-to-use generated seed
gen-logo-011,logo,Glass Circuit Forge,sleek identity system for a creative brand,citrusCircuit,badge,sleek,GCF,5,"Build a sleek logo system for Glass Circuit Forge: badge symbol, compact monogram GCF, balanced wordmark, and flexible badge usage.","logo,badge,sleek,citrusCircuit",Original free-to-use generated seed
